N,method,seed,rmse_all,rmse_tail,peak,n_c,n_u,r_c,r_u
15,periodic,12,0.0730013055858543,0.10962451952643,0.152177555414475,2000,2000,0,0
15,periodic,13,0.0729778341259438,0.109551142270168,0.151754522274196,2000,2000,0,0
15,periodic,14,0.0729844060685298,0.109519882073345,0.1515402444358,2000,2000,0,0
15,periodic,15,0.0729872385772554,0.1095553015631,0.151752100425611,2000,2000,0,0
15,periodic,16,0.0729983773777477,0.109577855879168,0.151876648589674,2000,2000,0,0
15,periodic,17,0.0729980576513651,0.109611913808445,0.152099628734426,2000,2000,0,0
15,periodic,18,0.0729793534263682,0.109503319547235,0.151465790021845,2000,2000,0,0
15,periodic,19,0.0729913572777466,0.109548053482794,0.151685613554882,2000,2000,0,0
15,dynamic_dual,0,0.0733179502078666,0.112131971905044,0.159557194365064,482.933333333333,104.066666666667,0.758533333333333,0.947966666666667
15,dynamic_dual,1,0.073426212813926,0.1121629675643,0.160799092634619,482.4,107.4,0.7588,0.9463
15,dynamic_dual,2,0.0731083940927541,0.111944633939191,0.160951721629825,481.6,102.933333333333,0.7592,0.948533333333333
15,dynamic_dual,3,0.0733825615040407,0.112285732145024,0.161007008061276,481.933333333333,106.666666666667,0.759033333333333,0.946666666666667
15,dynamic_dual,4,0.0731501318040338,0.111985914211658,0.160811766005352,482.4,103.8,0.7588,0.9481
15,dynamic_dual,5,0.0732166841446528,0.112081677092249,0.161739591309338,481.666666666667,104,0.759166666666667,0.948
15,dynamic_dual,6,0.0730438722625387,0.111784909314023,0.160881278938014,481.533333333333,103.333333333333,0.759233333333333,0.948333333333333
15,dynamic_dual,7,0.0734478711140623,0.112036017921351,0.161379632306094,482.133333333333,104,0.758933333333333,0.948
15,dynamic_dual,8,0.0734448848554402,0.112117666081466,0.160204357230683,482.533333333333,103.333333333333,0.758733333333333,0.948333333333333
15,dynamic_dual,9,0.0732595377316153,0.111732478220652,0.160624420239991,482.133333333333,110.6,0.758933333333333,0.9447
15,dynamic_dual,10,0.0732535235092607,0.111962697898199,0.161101092468357,481.6,106.6,0.7592,0.9467
15,dynamic_dual,11,0.0730224723558617,0.111685536059031,0.160198632658414,481.533333333333,105.333333333333,0.759233333333333,0.947333333333333
15,dynamic_dual,12,0.0736430512652039,0.112737619564541,0.162509716795064,482.533333333333,101.4,0.758733333333333,0.9493
15,dynamic_dual,13,0.0733425195495068,0.111931230332406,0.159801376117642,482.333333333333,107,0.758833333333333,0.9465
15,dynamic_dual,14,0.0735936202066367,0.112400158479032,0.161057510110471,482.333333333333,107,0.758833333333333,0.9465
15,dynamic_dual,15,0.0733494537639388,0.112216413810792,0.161016309226088,481.933333333333,106.133333333333,0.759033333333333,0.946933333333333
15,dynamic_dual,16,0.0732601592521317,0.112115096544484,0.160914571014445,481.466666666667,105.066666666667,0.759266666666667,0.947466666666667
15,dynamic_dual,17,0.073256310516416,0.111486546043047,0.160265298946992,482.066666666667,104.933333333333,0.758966666666667,0.947533333333333
15,dynamic_dual,18,0.0734794614908576,0.112002439787002,0.159878391479637,482.866666666667,108.533333333333,0.758566666666667,0.945733333333333
15,dynamic_dual,19,0.0731215936113754,0.111888736115598,0.160888532776706,481.866666666667,105.866666666667,0.759066666666667,0.947066666666667
20,periodic,0,0.0937344800039105,0.158905979838783,0.226595977055467,2000,2000,0,0
20,periodic,1,0.0937507295320286,0.158912484852621,0.226528949949504,2000,2000,0,0
20,periodic,2,0.0938401667201401,0.159279632249696,0.227839478986738,2000,2000,0,0
20,periodic,3,0.0937860557495917,0.159056909155643,0.227082134161826,2000,2000,0,0
20,periodic,4,0.093722906416718,0.158846698778669,0.226420343609405,2000,2000,0,0
20,periodic,5,0.093798022742858,0.159130819340277,0.227360709124632,2000,2000,0,0
20,periodic,6,0.0937702321325388,0.159003241969324,0.226884961441378,2000,2000,0,0
20,periodic,7,0.0937515675239998,0.158980796467578,0.226823232201916,2000,2000,0,0
20,periodic,8,0.0937906625549397,0.159095760395233,0.227278593071397,2000,2000,0,0
