N,method,label,rmse_all_mean,rmse_all_std,rmse_tail_mean,rmse_tail_std,peak_mean,peak_std,n_c_mean,n_c_std,n_u_mean,n_u_std,r_c_mean,r_c_std,r_u_mean,r_u_std
5,periodic,Periodic,0.043278901107599,9.34986155893889e-07,0.0520131600444126,1.66026764064311e-06,0.0743794206180649,1.76433547087606e-05,2000,0,2000,0,0,0,0,0
5,dynamic_dual,Dynamic-Dual,0.0422909133061829,0.000116004424431597,0.0506740152294805,0.00028717436022846,0.0843624109064683,0.000694310302267906,487.34,0.195744193971842,88.79,4.79450343183679,0.75633,9.78720969859078e-05,0.955605,0.00239725171591839
10,periodic,Periodic,0.0561347931765184,2.02756705401937e-06,0.0794445041000605,1.0391062634686e-05,0.109939651700519,8.64209072434054e-05,2000,0,2000,0,0,0,0,0
10,dynamic_dual,Dynamic-Dual,0.0550954925076062,0.000138802234216824,0.079158287955898,0.000305846278446624,0.11773427196682,0.000892962650859372,476.75,0.198679853559752,107.845,3.2517970740079,0.761625,9.93399267798968e-05,0.9460775,0.00162589853700394
15,periodic,Periodic,0.0729900122912759,7.60820659547784e-06,0.109562669107507,3.48370161751434e-05,0.151800557013815,0.000211753314286778,2000,0,2000,0,0,0,0,0
15,dynamic_dual,Dynamic-Dual,0.073306013302606,0.000170667356590379,0.112034522151455,0.000270478347039037,0.160779374715704,0.000682684825099314,482.09,0.446572391203029,105.4,2.16424966401456,0.758955,0.000223286195601525,0.9473,0.00108212483200728
20,periodic,Periodic,0.0937730760291438,2.99878072713662e-05,0.159020970040937,0.000110126182116835,0.226950988007195,0.000378264963594652,2000,0,2000,0,0,0,0,0
20,dynamic_dual,Dynamic-Dual,0.0957492257304231,0.00018923017412389,0.165306449293928,0.000364799465275886,0.24047473033103,0.00078781908329432,514.3,0.637635434530118,106.215,2.23024072337731,0.74285,0.000318817717265063,0.9468925,0.00111512036168865
