method,label,rmse_e_mean,rmse_e_std,peak_e_mean,peak_e_std,n_c_mean,n_c_std,n_u_mean,n_u_std,r_c_mean,r_c_std,r_u_mean,r_u_std
periodic,Periodic,0.3172050258817809,0.06513947806137778,1.0652447981366198,0.21626747994833026,1000.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0
static_single,Static-Single,0.31821708298096113,0.06419964320652866,1.0713153782820606,0.20761329115129093,514.05,31.635818307734656,1000.0,0.0,0.48595000000000005,0.03163581830773466,0.0,0.0
static_dual,Static-Dual,0.32532244918738773,0.06803278569717373,1.108548080767226,0.21916028078699445,515.2299999999999,33.361289943086234,124.81000000000002,35.17949055281437,0.48477,0.033361289943086236,0.8751899999999999,0.03517949055281438
dynamic_single,Dynamic-Single,0.3211569926628034,0.0634402683050154,1.090227477296494,0.19869202061374547,353.69,21.826968537924728,1000.0,0.0,0.64631,0.021826968537924735,0.0,0.0
dynamic_dual,Dynamic-Dual (proposed),0.3354674093600939,0.07006805468125064,1.1551333765887808,0.22307972232949588,356.88,23.296246717252785,92.64999999999999,20.49765569251491,0.6431199999999999,0.0232962467172528,0.9073499999999999,0.020497655692514917
